s_no,registration_no,certificate_s_no,category_of_variety,denomination_of_the_candidate_variety,crop,crop_group,name_of_applicant,applicant_category,date_of_filling,application_no,date_of_certificate_issue,maximum_protection_period_up_to,provisional_protection_claim
304,88 of 2011,305,Extant,RSG-902 (Aruna),Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,31-Jan-2008,E147 CA15 08 169,21 October 2011,04 October 2022,31-Jan-2008  to 21-Oct-2011
305,89 of 2011,306,Extant,Ankur-09 (WHH-09),Tetraploid Cotton,Fibre Crops,Ankur Seeds Pvt. Ltd.,Private,2-Apr-2008,E199 GH13 08 238,21 October 2011,14 May 2013,02-Apr-2008  to 21-Oct-2011
306,91 of 2011,308,Extant,NCS-145 Bunny (NCHH-145),Tetraploid Cotton,Fibre Crops,Nuziveedu Seeds Limited,Private,15-Jul-2008,E300 GH123 08 410,21 October 2011,14 November 2016,15-Jul-2008  to 21-Oct-2011
307,92 of 2011,309,Extant,G.Cot 19 (G.Am-31),Diploid Cotton,Fibre Crops,Navsari Agricultural University,Public,9-Nov-2009,E09 GA11 09 489,21 October 2011,11 March 2018,09-Nov-2009  to 21-Oct-2011
308,93 of 2011,310,Extant,G.Cot 21,Diploid Cotton,Fibre Crops,Navsari Agricultural University,Public,9-Nov-2009,E03 GE03 09 491,21 October 2011,14 November 2016,09-Nov-2009  to 21-Oct-2011
309,94 of 2011,311,Extant,KC-3,Tetraploid Cotton,Fibre Crops,Tamil Nadu Agricultural University,Public,15-Dec-2008,E373 GH166 08 520,21 October 2011,19 July 2022,15-Dec-2008  to 21-Oct-2011
310,95 of 2011,312,Extant,SVPR-2 (TSH 289),Tetraploid Cotton,Fibre Crops,Tamil Nadu Agricultural University,Public,15-Dec-2008,E378 GH170 08 525,21 October 2011,30 April 2012,15-Dec-2008  to 21-Oct-2011
311,96 of 2011,313,Extant,SVPR-3,Tetraploid Cotton,Fibre Crops,Tamil Nadu Agricultural University,Public,15-Dec-2008,E379 GH171 08 526,21 October 2011,12 September 2015,15-Dec-2008  to 21-Oct-2011
312,97 of 2011,314,Extant,F 1378,Tetraploid Cotton,Fibre Crops,Punjab Agricultural University,Public,15-Dec-2008,E383 GH174 08 530,21 October 2011,08 September 2012,15-Dec-2008  to 21-Oct-2011
313,98 of 2011,315,Extant,CICR-2 (CISAA-2)(GMS based Hybrid),Diploid Cotton,Fibre Crops,Indian Council of Agricultural Research (ICAR),Public,15-Dec-2008,E386 GA12 08 533,21 October 2011,01 February 2020,15-Dec-2008  to 21-Oct-2011
314,99 of 2011,316,Extant,Pusa Composite 443 (MP 443),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,29-Apr-2009,E11 PG16 09 218,21 October 2011,10 February 2024,29-Apr-2009  to 21-Oct-2011
315,100 of 2011,317,Extant,Bio-22027,Maize,Cereals,Bioseed Research India Private Limited,Private,2-Jun-2009,E18 ZM27 09 280,21 October 2011,09 January 2023,02-Jun-2009  to 21-Oct-2011
316,101 of 2011,318,Extant,Seed Tech-740 (Seedtec 2324),Maize,Cereals,Bisco Biosciences Pvt Ltd,Private,10-Jun-2009,E19 ZM29 09 293,21 October 2011,14 November 2016,10-Jun-2009  to 21-Oct-2011
317,102 of 2011,319,Extant,G.Cot-18,Tetraploid Cotton,Fibre Crops,Navsari Agricultural University,Public,9-Nov-2009,E142 GH172 09 490,21 October 2011,01 February 2016,09-Nov-2009  to 21-Oct-2011
318,103 of 2011,320,Extant,G.Cot MDH-11 (GSGDH-2),Diploid Cotton,Fibre Crops,Navsari Agricultural University,Public,9-Nov-2009,E10 GA12 09 492,21 October 2011,11 March 2018,09-Nov-2009  to 21-Oct-2011
319,104 of 2011,321,Extant,G.Cot Hy-12,Tetraploid Cotton,Fibre Crops,Navsari Agricultural University,Public,9-Nov-2009,E146 GH177 09 498,21 October 2011,24 April 2021,09-Nov-2009  to 21-Oct-2011
320,105 of 2011,322,New,J1126,Sorghum,Cereals,Maharashtra Hybrid Seeds Company Limited,Private,21-May-2007,N03 SB06 07 011,01 November 2011,31 October 2026,21-May-2007  to 01-Nov-2011
321,106 of 2011,323,New,J 1062,Sorghum,Cereals,Maharashtra Hybrid Seeds Company Limited,Private,21-May-2007,N06 SB09 07 015,01 November 2011,31 October 2026,21-May-2007  to 01-Nov-2011
322,107 of 2011,324,New,MIM 311,Maize,Cereals,Monsanto India Limited,Private,21-May-2007,N05 ZM06 07 038,01 November 2011,31 October 2026,21-May-2007  to 01-Nov-2011
323,108 of 2011,325,New,MIM 301,Maize,Cereals,Monsanto India Limited,Private,21-May-2007,N16 ZM20 07 055,01 November 2011,31 October 2026,21-May-2007  to 01-Nov-2011
324,109 of 2011,326,New,JKSH 574,Sorghum,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,N09 SB22 07 101,01 November 2011,31 October 2026,14-Jun-2007  to 01-Nov-2011
325,110 of 2011,327,Extant,Pusa Vaibhav (L 4147),Lentil,Legumes,Indian Council of Agricultural Research (ICAR),Public,2-Jan-2008,E21 LC4 08 25,14 November 2011,30 April 2012,02-Jan-2008  to 14-Nov-2011
326,111 of 2011,328,New,B 2114,Pearl millet,Cereals,Maharashtra Hybrid Seeds Company Limited,Private,21-May-2007,N1 PG3 07 017,07 December 2011,06 December 2026,21-May-2007  to 07-Dec-2011
327,112 of 2011,329,New,MIM 502,Maize,Cereals,Monsanto India Limited,Private,21-May-2007,N13 ZM15 07 047,07 December 2011,06 December 2026,21-May-2007  to 07-Dec-2011
328,113 of 2011,330,New,MIJ-007,Sorghum,Cereals,Devgen NV,Private,21-May-2007,N07 SB10 07 048,07 December 2011,06 December 2026,21-May-2007  to 07-Dec-2011
329,114 of 2011,331,New,MIM 003,Maize,Cereals,Monsanto India Limited,Private,21-May-2007,N15 ZM17 07 052,07 December 2011,06 December 2026,21-May-2007  to 07-Dec-2011
330,115 of 2011,332,New,HQPM-5,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,N21 ZM37 07 310,07 December 2011,06 December 2026,15-Nov-2007  to 07-Dec-2011
331,116 of 2011,333,New,HM-9,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,N22 ZM39 07 312,07 December 2011,06 December 2026,15-Nov-2007  to 07-Dec-2011
332,117 of 2011,334,New,MALVIYA HYBRID MAKKA-2,Maize,Cereals,"Indian Council of Agricultural Research on behalf of Banaras Hindu University, Varanasi",Public,11-Dec-2007,N24 ZM65 07 398,27 December 2011,26 December 2026,11-Dec-2007  to 27-Dec-2011
333,1 of 2012,335,Extant,Pusa Kabuli-1003 (BG-1003),Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,15-Nov-2007,E4 CA9 07 320,02 January 2012,07 June 2014,15-Nov-2007  to 02-Jan-2012
334,2 of 2012,336,Extant,Aravali Makka-1 (EV-90),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Nov-2007,E35 ZM58 07 346,02 January 2012,01 February 2016,27-Nov-2007  to 02-Jan-2012
335,3 of 2012,337,Extant,JM-8,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E47 ZM71 07 404,02 January 2012,30 April 2012,26-Dec-2007  to 02-Jan-2012
336,4 of 2012,338,Extant,DMH-1,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,26-Dec-2007,E60 ZM84 07 417,02 January 2012,08 September 2012,26-Dec-2007  to 02-Jan-2012
337,5 of 2012,339,Extant,Jawahar Makka-216,Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Dec-2007,E66 ZM90 07 423,02 January 2012,03 February 2019,27-Dec-2007  to 02-Jan-2012
338,6 of 2012,340,Extant,Jawahar Composite Makka-12 (JM-12),Maize,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Dec-2007,E69 ZM93 07 427,02 January 2012,07 June 2012,27-Dec-2007  to 02-Jan-2012
339,7 of 2012,341,Extant,APK-1,Sorghum,Cereals,Tamil Nadu Agricultural University,Public,19-May-2009,E14 SB24 09 269,16 January 2012,16 September 2012,19-May-2009  to 16-Jan-2012
340,8 of 2012,342,New,B 2124,Pearl millet,Cereals,Maharashtra Hybrid Seeds Company Limited,Private,21-May-2007,N3 PG5 07 019,07 March 2012,06 March 2027,21-May-2007  to 07-Mar-2012
341,9 of 2012,343,New,MIP-003,Pearl millet,Cereals,Emergent Genetics India Pvt Ltd,Private,22-May-2007,N6 PG14 07 077,07 March 2012,06 March 2027,22-May-2007  to 07-Mar-2012
342,10 of 2012,344,New,SYN-PM-0458,Pearl millet,Cereals,Syngenta India Limited,Private,10-Oct-2007,N9 PG28 07 141,07 March 2012,06 March 2027,10-Oct-2007  to 07-Mar-2012
343,11 of 2012,345,New,86M64,Pearl millet,Cereals,Pioneer Overseas corporation-India Branch Office,Private,17-Sep-2007,N8 PG27 07 140,07 March 2012,06 March 2027,17-Sep-2007  to 07-Mar-2012
344,12 of 2012,346,New,MIM 112,Maize,Cereals,Monsanto India Limited,Private,21-May-2007,N9 ZM11 07 43,07 March 2012,06 March 2027,21-May-2007  to 07-Mar-2012
345,13 of 2012,347,Extant,Hybrid 6444 (HRI-120 : IET-16434),Rice,Cereals,Bayer Crop Sciences AG,Private,4-Nov-2008,E347 OS98 08 484,07 March 2012,14 November 2016,04-Nov-2008  to 07-Mar-2012
346,15 of 2012,349,Farmer,KUDRAT 9,Wheat,Cereals,Shri Prakash Singh Raghuvanshi,Farmer,29-Apr-2009,F1 TA4 09 219,04 April 2012,03 April 2027,29-Apr-2009  to 04-Apr-2012
347,16 of 2012,350,Extant,Pant Chari-4 (Forage Sorghum),Sorghum,Cereals,G.B. Pant University of Agriculture & Technology,Public,19-May-2009,E8 SB18 09 263,04 April 2012,30 April 2012,19-May-2009  to 04-Apr-2012
348,17 of 2012,351,Extant,Jawahar Jowar-1041,Sorghum,Cereals,Rajmata Viajayaraje Scindia Krishi Vishwavidyalaya,Public,19-May-2009,E11 SB21 09 266,04 April 2012,07 June 2014,19-May-2009  to 04-Apr-2012
349,18 of 2012,352,Extant,Parbhani Moti (PVR-396/SPV-1411),Sorghum,Cereals,Marathwada Agricultural University,Public,19-May-2009,E13 SB23 09 268,04 April 2012,01 February 2020,19-May-2009  to 04-Apr-2012
350,19 of 2012,353,Extant,BSR-1,Sorghum,Cereals,Tamil Nadu Agricultural University,Public,19-May-2009,E16 SB27 07 272,04 April 2012,30 April 2012,19-May-2009  to 04-Apr-2012
351,20 of 2012,354,Extant,CO(S)-28,Sorghum,Cereals,Tamil Nadu Agricultural University,Public,19-May-2009,E18 SB29 09 274,04 April 2012,14 November 2016,19-May-2009  to 04-Apr-2012
352,21 of 2012,355,Extant,K-11,Sorghum,Cereals,Tamil Nadu Agricultural University,Public,19-May-2009,E19 SB30 09 275,04 April 2012,03 February 2019,19-May-2009  to 04-Apr-2012
353,22 of 2012,356,Extant,Paiyur-2,Sorghum,Cereals,Tamil Nadu Agricultural University,Public,19-May-2009,E21 SB32 09 277,04 April 2012,01 February 2016,19-May-2009  to 04-Apr-2012
354,23 of 2012,357,Extant,Pusa-991,Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Feb-2008,E168 CC1 08 190,04 April 2012,04 November 2020,12-Feb-2008  to 04-Apr-2012
355,24 of 2012,358,Extant,Pusa-992,Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Feb-2008,E170 CC3 08 192,04 April 2012,03 February 2019,12-Feb-2008  to 04-Apr-2012
356,25 of 2012,359,Extant,Malaviya Vikash (MA-6),Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Feb-2008,E171 CC4 08 193,04 April 2012,11 March 2018,12-Feb-2008  to 04-Apr-2012
357,26 of 2012,360,Extant,Malaviya Chamatkar (MAL-13),Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Feb-2008,E172 CC5 08 194,04 April 2012,01 February 2020,12-Feb-2008  to 04-Apr-2012
358,27 of 2012,361,Extant,Narendra Arhar-2 (NDA 98-1),Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Feb-2008,E173 CC6 08 195,13 April 2012,09 January 2023,12-Feb-2008  to 13-Apr-2012
359,28 of 2012,362,Extant,BRG-1,Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Feb-2008,E174 CC7 08 196,13 April 2012,19 September 2021,12-Feb-2008  to 13-Apr-2012
360,29 of 2012,363,Extant,Pusa-2001,Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Feb-2008,E175 CC8 08 197,13 April 2012,19 September 2019,12-Feb-2008  to 13-Apr-2012
361,30 of 2012,364,Extant,PKV Kabuli-2,Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,31-Jan-2008,E151 CA19 08 173,13 April 2012,01 February 2016,31-Jan-2008  to 13-Apr-2012
362,31 of 2012,365,Extant,Pusa 1105,Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,17-Jan-2008,E130 CA1 08 143,13 April 2012,04 November 2020,17-Jan-2008  to 13-Apr-2012
363,32 of 2012,366,Extant,DCP-92-3,Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E1 CA3 07 184,06 June 2012,14 May 2013,05-Nov-2007  to 06-Jun-2012
364,33 of 2012,367,Extant,RCH-2,Tetraploid Cotton,Fibre Crops,Rasi Seeds Private  Limited,Private,2-Apr-2008,E218 GH67 08 298,06 June 2012,02 April 2015,02-Apr-2008  to 06-Jun-2012
365,34 of 2012,368,Extant,Vihar Phule (G-95311),Chickpea,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E2 CA4 07 185,06 June 2012,11 March 2018,05-Nov-2007  to 06-Jun-2012
366,35 of 2012,369,Extant,VL 804,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Jul-2008,E297 TA30 08 407,06 June 2012,03 September 2017,15-Jul-2008  to 06-Jun-2012
367,36 of 2012,370,Extant,Gujarat Cotton-23 (GBhv-179),Diploid Cotton,Fibre Crops,Navsari Agricultural University,Public,9-Nov-2009,E1 GE1 09 487,06 June 2012,14 March 2018,09-Nov-2009  to 06-Jun-2012
368,37 of 2012,371,Extant,PRASAD,Black Gram,Legumes,Orissa University of Agriculture & Technology,Public,11-Nov-2009,E7 VM9 09 499,06 June 2012,15 October 2023,11-Nov-2009  to 06-Jun-2012
369,38 of 2012,372,Extant,Gujarat Til-3 (AT-93),Sesame,Oilseeds,"Junagarh Agricultural University, Gujrat",Public,5-Jan-2011,E1 SI1 11 61,06 June 2012,10 February 2024,05-Jan-2011  to 06-Jun-2012
370,39 of 2012,373,Extant,Gujarat Til-10,Sesame,Oilseeds,"Junagarh Agricultural University, Gujrat",Public,5-Jan-2011,E2 SA2 11 62,06 June 2012,04 November 2020,05-Jan-2011  to 06-Jun-2012
371,40 of 2012,374,New,JKMH-45,Maize,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,N18 ZM 25 07 104,06 June 2012,05 June 2027,14-Jun-2007  to 06-Jun-2012
372,41 of 2012,375,New,INDAM 100-001,Rice,Cereals,Indo-American Hybrid Seeds (I) Limited,Private,27-Dec-2007,N18 0S90 07 426,06 June 2012,05 June 2027,27-Dec-2007  to 06-Jun-2012
373,42 of 2012,376,New,KCH-14 K59 BGII,Tetraploid Cotton,Fibre Crops,M/S Kaveri Seed Company Limited,Private,28-Jan-2009,N1 GH2 09 19,02 July 2012,01 July 2027,28-Jan-2009  to 02-Jul-2012
374,43 of 2012,377,Extant,HHB-146 (MH-960),Pearl millet,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Nov-2007,E28 PG37 07 211,02 July 2012,11 February 2018,06-Nov-2007  to 02-Jul-2012
375,44 of 2012,378,Extant,Amol (BDN-708),Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E2 CC6 07 293,02 July 2012,05 February 2022,12-Nov-2007  to 02-Jul-2012
376,45 of 2012,379,Extant,CORG-9701,Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E4 CC8 07 295,02 July 2012,24 April 2021,12-Nov-2007  to 02-Jul-2012
377,46 of 2012,380,Extant,GTH-1 (SKNPCH-10),Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E7 CC11 07 298,02 July 2012,04 October 2022,12-Nov-2007  to 02-Jul-2012
378,47 of 2012,381,Extant,BSMR 853 (Vaishali),Pigeon Pea,Legumes,Indian Council of Agricultural Research (ICAR),Public,12-Nov-2007,E2 CC13 07 300,02 July 2012,03 September 2017,12-Nov-2007  to 02-Jul-2012
379,48 of 2012,382,Extant,Bamleshwari (IET No 14444 R 738-1-64-2-2),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,27-Nov-2007,E28 OS47 07 350,02 July 2012,14 November 2016,27-Nov-2007  to 02-Jul-2012
380,49 of 2012,383,Extant,Early Samba (RNRM-7),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E36 OS55 07 358,02 July 2012,01 February 2016,06-Dec-2007  to 02-Jul-2012
381,50 of 2012,384,Extant,ADT-43 (IET-14878),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E41 OS60 07 363,02 July 2012,07 June 2014,06-Dec-2007  to 02-Jul-2012
382,51 of 2012,385,Extant,ADT-44,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E42 OS61 07 364,02 July 2012,12 September 2015,06-Dec-2007  to 02-Jul-2012
383,52 of 2012,386,Extant,Swathi (NLR-33057),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E43 OS62 07 365,02 July 2012,01 February 2016,06-Dec-2007  to 02-Jul-2012
384,53 of 2012,387,Extant,Bharani (NLR 30491),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E45 OS64 07 367,02 July 2012,01 February 2016,06-Dec-2007  to 02-Jul-2012
385,54 of 2012,388,Extant,HPR-1156 (IET-16007),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E47 OS66 07 369,02 July 2012,03 February 2019,06-Dec-2007  to 02-Jul-2012
386,55 of 2012,389,Extant,Tapaswini (IET 9945),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E51 OS70 07 353,02 July 2012,14 May 2013,06-Dec-2007  to 02-Jul-2012
387,56 of 2012,390,Extant,SARLA CR-260-77 (IET-10279),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E58 OS 77 07 380,02 July 2012,03 September 2017,06-Dec-2007  to 02-Jul-2012
388,57 of 2012,391,Extant,PTB-51 (AATHIRA),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,6-Dec-2007,E59 OS78 07 381,02 July 2012,24 April 2021,06-Dec-2007  to 02-Jul-2012
389,58 of 2012,392,Extant,Shanthi (IET-12884),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,11-Dec-2007,E67 OS86 07 394,02 July 2012,03 February 2019,11-Dec-2007  to 02-Jul-2012
390,59 of 2012,393,Extant,CO-47 (IET-14298),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jan-2008,E1 OS1 08 1,02 July 2012,12 September 2012,01-Jan-2008  to 02-Jul-2012
391,60 of 2012,394,Extant,"CSR-27 (IET-13765, CSR-88, IR-6)",Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jan-2008,E3 OS3 08 3,02 July 2012,25 October 2014,01-Jan-2008  to 02-Jul-2012
392,61 of 2012,395,Extant,PR-115,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jan-2008,E10 OS10 08 10,02 July 2012,25 March 2016,01-Jan-2008  to 02-Jul-2012
393,62 of 2012,396,Extant,PR-114,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jan-2008,E11 OS11 08 11,02 July 2012,25 March 2016,01-Jan-2008  to 02-Jul-2012
394,63 of 2012,397,Extant,Somasila (NLR-33358),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,1-Jan-2008,E13 OS13 08 13,02 July 2012,12 September 2015,01-Jan-2008  to 02-Jul-2012
395,64 of 2012,398,Extant,ADT (R)-48,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jan-2008,E86 OS18 08 98,02 July 2012,24 April 2021,10-Jan-2008  to 02-Jul-2012
396,65 of 2012,399,Extant,HPR 1068,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jan-2008,E90 OS22 08 102,02 July 2012,24 April 2021,10-Jan-2008  to 02-Jul-2012
397,66 of 2012,400,Extant,HPR 2143,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jan-2008,E91 OS23 08 103,02 July 2012,24 April 2021,10-Jan-2008  to 02-Jul-2012
398,67 of 2012,401,Extant,Pooja (IET-12241),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jan-2008,E103 OS35 08 115,02 July 2012,07 June 2014,10-Jan-2008  to 02-Jul-2012
399,68 of 2012,402,Extant,KAUA 4-4-2 (Harsha),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jan-2008,E118 OS50 08 130,02 July 2012,03 September 2017,10-Jan-2008  to 02-Jul-2012
400,69 of 2012,403,Extant,Krishna Hamsa,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jan-2008,E121 OS53 08 133,02 July 2012,14 May 2013,10-Jan-2008  to 02-Jul-2012
401,70 of 2012,404,Extant,Sravani (NLR-33359),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,10-Jan-2008,E122 OS54 08 134,02 July 2012,01 February 2016,10-Jan-2008  to 02-Jul-2012
402,71 of 2012,405,Extant,HI 1418,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,3-Jul-2008,E284 TA19 08 394,02 July 2012,02 April 2015,03-Jul-2008  to 02-Jul-2012
403,72 of 2012,406,Extant,VL GEHUN-738 (VL-738),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,15-Jul-2008,E296 TA29 08 406,02 July 2012,08 September 2012,15-Jul-2008  to 02-Jul-2012
404,73 of 2012,407,Extant,Pratap Jawar-1430 (SPV-1430),Sorghum,Cereals,Maharana Pratap University of Agriculture & Technology,Public,19-May-2009,E5 SB15 09 260,02 July 2012,03 February 2019,19-May-2009  to 02-Jul-2012
405,74 of 2012,408,Extant,UTTARA (RSS GV-3),Sorghum,Cereals,Maharana Pratap University of Agriculture & Technology,Public,19-May-2009,E9 SB19 09 264,02 July 2012,05 February 2022,19-May-2009  to 02-Jul-2012
406,75 of 2012,409,Extant,Vasudha (RSV-423),Sorghum,Cereals,Maharana Pratap University of Agriculture & Technology,Public,19-May-2009,E35 SB26 09 271,02 July 2012,09 January 2023,19-May-2009  to 02-Jul-2012
407,76 of 2012,410,Extant,Parbhani Sweta (PVK-801) (SPV-1333),Sorghum,Cereals,Marathwada Agricultural University,Public,19-May-2009,E20 SB31 09 276,02 July 2012,12 September 2015,19-May-2009  to 02-Jul-2012
408,77 of 2012,411,Extant,RSLG-262 (Maulee),Sorghum,Cereals,Mahatma Phule Krishi Vidyapeeth,Public,10-Jun-2009,E23 SB34 09 289,02 July 2012,05 February 2022,10-Jun-2009  to 02-Jul-2012
409,78 of 2012,412,Extant,PKV Hy-5 (CAHH-99),Tetraploid Cotton,Fibre Crops,Dr. Panjabrao Deshmukh Krishi Vidyapeeth,Public,30-Mar-2009,E41 GH52 09 119,02 July 2012,03 February 2019,30-Mar-2009  to 02-Jul-2012
410,79 of 2012,413,Extant,KN3,Rice,Cereals,"Dr. Ram Chet Chaudhary Chairman, PRDF",Private,8-Apr-2009,E35 OSD18 09 138,02 July 2012,30 August 2025,08-Apr-2009  to 02-Jul-2012
411,80 of 2012,414,Extant,Improved Samba Mansuri,Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,8-May-2009,E11 OS28 09 240,02 July 2012,07 May 2023,08-May-2009  to 02-Jul-2012
412,81 of 2012,415,Extant,ORT (M) 2-4 (Parbati),Rapeseed (Toria),Oilseeds,Orissa University of Agriculture & Technology,Public,27-Sep-2010,E1 BR1 10 300,02 July 2012,14 November 2016,27-Sep-2010  to 02-Jul-2012
413,82 of 2012,416,Extant,ORT (M) 6-2 (Anuradha),Rapeseed (Toria),Oilseeds,Orissa University of Agriculture & Technology,Public,27-Sep-2010,E2 BR2 10 301,02 July 2012,03 September 2017,27-Sep-2010  to 02-Jul-2012
414,83 of 2012,417,Extant,Nirmala (OS.Sel.164),Sesame,Oilseeds,Orissa University of Agriculture & Technology,Public,27-Sep-2010,E2 SI2 10 303,02 July 2012,11 March 2018,27-Sep-2010  to 02-Jul-2012
415,84 of 2012,418,Extant,Deepak (DCH-177) (Hybrid),Castor,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,18-Jan-2011,E1 RC1 11 86,02 July 2012,12 September 2015,18-Jan-2011  to 02-Jul-2012
416,85 of 2012,419,Extant,DCH-519,Castor,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,10-Mar-2011,E2 RC2 11 172,02 July 2012,24 April 2021,10-Mar-2011  to 02-Jul-2012
417,86 of 2012,420,Extant,JWALA (48-1),Castor,Oilseeds,Indian Council of Agricultural Research (ICAR),Public,28-Mar-2011,E3 RC3 11 198,02 July 2012,04 October 2022,28-Mar-2011  to 02-Jul-2012
418,87 of 2012,421,Extant,Geetanjali (CRM-2007-1) (IET-17276),Rice,Cereals,Indian Council of Agricultural Research (ICAR),Public,19-Sep-2011,E20 OS615 11 929,02 July 2012,19 September 2021,19-Sep-2011  to 02-Jul-2012
419,88 of 2012,422,New,J 1127,Sorghum,Cereals,Maharashtra Hybrid Seeds Company Limited,Private,21-May-2007,N4 SB7 07 12,02 July 2012,01 July 2027,21-May-2007  to 02-Jul-2012
420,89 of 2012,423,New,MIM 612,Maize,Cereals,Monsanto India Limited,Private,21-May-2007,N1 ZM1 07 33,02 July 2012,01 July 2027,21-May-2007  to 02-Jul-2012
421,90 of 2012,424,New,JKMH-142 (WHITE),Maize,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,N19 ZM29 07 112,02 July 2012,01 July 2027,14-Jun-2007  to 02-Jul-2012
422,91 of 2012,425,Extant,JKMH-502,Maize,Cereals,JK Agri Genetics Ltd.,Private,14-Jun-2007,E10 ZM28 07 107,02 August 2012,26 August 2024,14-Jun-2007  to 02-Aug-2012
423,92 of 2012,426,Extant,TMB-37 (TM 99-37),Green Gram,Legumes,Indian Council of Agricultural Research (ICAR),Public,5-Nov-2007,E3 VR3 07 163,02 August 2012,24 August 2020,05-Nov-2007  to 02-Aug-2012
424,93 of 2012,427,Extant,DBW-14,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E11 TA14 07 256,02 August 2012,11 March 2018,07-Nov-2007  to 02-Aug-2012
425,94 of 2012,428,Extant,SWAPNIL (JWS-17),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E25 TA28 07 270,02 August 2012,16 September 2012,07-Nov-2007  to 02-Aug-2012
426,95 of 2012,429,Extant,Shalimar Wheat-1 (SKW-196),Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E31` TA34 07 276,02 August 2012,24 August 2020,07-Nov-2007  to 02-Aug-2012
427,96 of 2012,430,Extant,GW-366,Wheat,Cereals,Indian Council of Agricultural Research (ICAR),Public,7-Nov-2007,E36 TA39 07 281,02 August 2012,05 February 2022,07-Nov-2007  to 02-Aug-2012
